Count,Tournament,Date,Time,Winner,Loser,Points,Duration
1,Victor Korea Open,1/7/2014,11:00 AM,HEO KWANG HEE,KIM HUI TAE,"[[21, 9], [23, 21]]",28
2,Victor Korea Open,1/7/2014,11:00 AM,HWANG JONG SOO,SEO SEUNG JAE,"[[21, 11], [21, 14]]",30
3,Victor Korea Open,1/7/2014,11:35 AM,SIMON SANTOSO,PARK SUNG MIN,"[[21, 18], [22, 20]]",43
4,Victor Korea Open,1/7/2014,12:10 PM,LEE JUN SU,KIM MIN KI,"[[2, 0]]",3
5,Victor Korea Open,1/7/2014,12:10 PM,CHOI SOL KYU,CHAN KWONG BENG,"[[21, 18], [11, 7]]",29
6,Victor Korea Open,1/7/2014,12:10 PM,JEON HYUK JIN,TAN CHUN SEANG,"[[21, 14], [10, 21], [21, 18]]",56
7,Victor Korea Open,1/7/2014,12:45 PM,KIM DONG HOON,CHEN YONG ZHAO ASHTON,"[[11, 21], [21, 15], [21, 16]]",58
8,Victor Korea Open,1/7/2014,12:45 PM,LEE DONG KEUN,JANG HYUN SEOK,"[[20, 22], [21, 5], [21, 14]]",54
9,Victor Korea Open,1/7/2014,2:00 PM,SIMON SANTOSO,HEO KWANG HEE,"[[21, 15], [21, 19]]",41
10,Victor Korea Open,1/7/2014,2:35 PM,HWANG JONG SOO,LEE JUN SU,"[[21, 18], [21, 9]]",31
11,Victor Korea Open,1/7/2014,2:35 PM,JEON HYUK JIN,CHOI SOL KYU,"[[21, 16], [23, 21]]",32
12,Victor Korea Open,1/7/2014,2:35 PM,LEE DONG KEUN,KIM DONG HOON,"[[21, 13], [21, 9]]",35
13,Victor Korea Open,1/8/2014,9:00 AM,KAZUMASA SAKAI,JEON HYUK JIN,"[[21, 13], [21, 10]]",38
14,Victor Korea Open,1/8/2014,10:20 AM,VLADIMIR IVANOV,CHONG WEI FENG,"[[21, 18], [21, 11]]",35
15,Victor Korea Open,1/8/2014,10:20 AM,HWANG JONG SOO,RAJIV OUSEPH,"[[13, 21], [21, 17], [21, 16]]",61
16,Victor Korea Open,1/8/2014,11:00 AM,LEE CHONG WEI,SON WAN HO,"[[21, 11], [21, 18]]",41
17,Victor Korea Open,1/8/2014,11:40 AM,MARC ZWIEBLER,VIKTOR AXELSEN,"[[21, 19], [21, 16]]",35
18,Victor Korea Open,1/8/2014,12:20 PM,DU PENGYU,SHO SASAKI,"[[21, 10], [21, 8]]",38
19,Victor Korea Open,1/8/2014,1:40 PM,KENTO MOMOTA,LEE DONG KEUN,"[[21, 18], [16, 21], [22, 20]]",82
20,Victor Korea Open,1/8/2014,1:40 PM,JAN O JORGENSEN,ERIC PANG,"[[21, 19], [21, 15]]",33
21,Victor Korea Open,1/8/2014,2:20 PM,BOONSAK PONSANA,WONG WING KI,"[[21, 13], [5, 0]]",25
22,Victor Korea Open,1/8/2014,3:00 PM,DIONYSIUS HAYOM RUMBAKA,TANONGSAK SAENSOMBOONSUK,"[[13, 21], [21, 16], [21, 14]]",51
23,Victor Korea Open,1/8/2014,3:40 PM,TIAN HOUWEI,TOMMY SUGIARTO,"[[21, 12], [21, 17]]",49
24,Victor Korea Open,1/8/2014,4:20 PM,GAO HUAN,HANS-KRISTIAN VITTINGHUS,"[[21, 13], [21, 16]]",45
25,Victor Korea Open,1/8/2014,4:20 PM,NGUYEN TIEN MINH,HU YUN,"[[24, 22], [11, 4]]",30
26,Victor Korea Open,1/8/2014,5:00 PM,KENICHI TAGO,K. SRIKANTH,"[[21, 10], [21, 11]]",36
27,Victor Korea Open,1/8/2014,5:40 PM,TAKUMA UEDA,R. M. V. GURUSAIDUTT,"[[21, 11], [21, 11]]",34
28,Victor Korea Open,1/8/2014,6:20 PM,CHEN LONG,SIMON SANTOSO,"[[21, 11], [21, 12]]",39
29,Victor Korea Open,1/9/2014,11:50 AM,CHEN LONG,TAKUMA UEDA,"[[19, 21], [21, 9], [21, 14]]",75
30,Victor Korea Open,1/9/2014,12:15 PM,GAO HUAN,TIAN HOUWEI,"[[21, 17], [21, 11]]",44
